market,security,last_add,ticker,touches_defective_cell
Japan,GUNGHO ONLINE ENT,May13,3765.T,False
Japan,HANSHIN ELEC. RAILWAY CO,May06,,False
Japan,HIROSHIMA BANK,Nov12,,False
Japan,HITACHI HIGH-TECH,May06,,False
Japan,HITACHI METALS,Nov07,,False
Japan,HOSHIZAKI ELECTRIC CO,Nov15,,False
Japan,ITOCHU TECHNO-SOLUTIONS,May19,,False
Japan,JUPITER TELECOM,May07,,False
Japan,KEIHAN ELECTRIC RAILWAY,Nov14,,False
Japan,LINE CORP,Nov16,,False
Japan,MINEBEA CO,Nov14,,False
Japan,MIRACA HOLDINGS,Nov10,,False
Japan,MITSUBISHI UFJ LEASE FIN,May07,,False
Japan,MITSUBISHI UFJ NICOS CO,May08,,False
Japan,MIZUHO TRUST & BANKING,Nov07,,False
Japan,MONOTARO CO                           MABUC,Nov18,,False
Japan,NIHON M&A CENTER,May20,2127.T,False
Japan,NIPPON PAINT CO,Nov13,,False
Japan,NIPPONKOA INSURANCE CO,Nov07,,False
Japan,NISSAN CHEMICAL IND,Nov16,,False
Japan,NISSAY DOWA GEN INS,Nov08,,False
Japan,NOMURA REAL ESTATE HLD,May07,,False
Japan,OKUMA HOLDINGS,May06,,False
Japan,PERSOL HOLDINGS CO                    HIROS,Nov17,,False
Japan,PIGEON CORP                           NOK C,Nov18,,False
Japan,SCSK CORP,May20,,False
Japan,SQUARE ENIX CO,Nov07,,False
Japan,START TODAY,May16,,False
Japan,SUMCO                                 MIRAC,Nov17,,False
Japan,SUMITOMO TITANIUM CORP,May06,,False
Japan,WELCIA HOLDINGS CO                    TOKYO,Nov18,,False
Japan,YAMAGUCHI FINANCIAL GP,May08,,False
Korea,BGF RETAIL,Aug15,282330.KS,False
Korea,CELLTRION HEALTHCARE,Nov17,,False
Korea,CJ E&M CORPORATION,Nov15,,False
Korea,CJ KOREA EXPRESS CORP,Nov14,,False
Korea,DACOM CORP,Nov07,,False
Korea,DAEWOO INT'L CORP,May06,,False
Korea,DAUM COMMUNICATIONS CORP,Nov14,,False
Korea,DC CHEMICAL CO,Nov07,,False
Korea,DONGBU INSURANCE CO,May06,,False
Korea,DOOSAN HEAVY INDUSTRIES,Nov20,,False
Korea,FILA KOREA,Nov18,,False
Korea,HALLAVISTEON CLIMATE,May13,,False
Korea,HYNIX SEMICONDUCTOR,Nov07,,False
Korea,HYUNDAI ENGR. & CONSTR.,Feb26,,False
Korea,HYUNDAI HYSCO,May11,,False
Korea,ILJIN MATERIALS,Nov21,,False
Korea,ING LIFE INSURANCE KOREA,Nov17,,False
Korea,KOREA KUMHO PETROCHEM CO,May11,,False
Korea,KOREA ZINC,May06,010130.KS,False
Korea,KT FREETEL,May06,,False
Korea,LG HOUSEHOLD & HEAL PREF,May16,,False
Korea,LG INDUSTRIAL SYSTEMS CO,Aug09,,False
Korea,LG TELECOM,Nov07,,False
Korea,LIG NEX1,Aug25,,False
Korea,LOTTE CHILSUNG BEVERAGE,Nov15,005300.KS,False
Korea,LOTTE CONFECTIONERY CO,May06,,False
Korea,MERITZ FIRE & MARINE INS,Feb22,,False
Korea,MERITZ SECURITIES CO,May19,,False
Korea,MIRAE ASSET SEC CO LTD,May06,006805.KS,False
Korea,ORION CORP,Nov11,271560.KS,False
Korea,POSCO CHEMTECH CO,Nov18,,False
Korea,SAMSUNG ENGINEERING CO,May18,,False
Korea,STX SHIPBUILDING CO,Nov07,,False
Korea,TONG YANG INVEST BANK,May06,,False
Korea,VIROMED CO,May18,,False
Korea,WOONGJIN COWAY CO,May06,,False
Korea,WOORI FINANCE HOLDINGS,Nov07,,False
Malaysia,ALLIANCE FINANCIAL GROUP,Nov07,,False
Malaysia,ASIATIC DEVELOPMENT,Feb08,,False
Malaysia,DIGI.COM,Nov07,,False
Malaysia,MALAYSIA AIRPORTS HLDGS,May11,,False
Malaysia,PRESS METAL ALUMINIUM,Nov17,8869.KL,False
Malaysia,SUNWAY,Aug24,5263.KL,False
Malaysia,UEM LAND HOLDINGS,May11,,False
Malaysia,UEM WORLD,May07,,False
Malaysia,YTL POWER INT'L,Nov07,,False
NewZealand,MERIDIAN ENERGY INST REC,Nov14,,False
NewZealand,MIGHTY RIVER POWER,Nov14,,False
Philippines,AC ENERGY CORP,Nov21,,False
Philippines,ICTSI INT'L CONTAINER,Nov11,,False
Philippines,METRO PACIFIC INVEST,May13,,False
Philippines,PNOC ENERGY DEV CORP,May07,,False
Singapore,CAPITACOMMERCIAL TRUST,Nov12,,False
Singapore,GENTING INTERNATIONAL,Nov07,,False
Singapore,GLOBAL LOGISTICS PROP,Nov10,,False
Singapore,KEPPEL LAND,May10,,False
Singapore,MAPLETREE COMM TRUST,Nov19,,False
Singapore,SEA A ADR,May21,,False
Taiwan,CHINA LIFE INSURANCE CO,May10,,False
Taiwan,FARGLORY DEVELOPERS CO,May09,,False
Taiwan,FORMOSA INT'L HOTELS,May09,,False
Taiwan,HERMES MICROVISION,Nov12,,False
Taiwan,INNOLUX DISPLAY,Feb07,,False
Taiwan,INOTERA MEMORIES (ATM),May14,,False
Taiwan,KGI SECURITIES CO,Nov07,,False
Taiwan,MSTAR SEMICONDUCTOR,Feb11,,False
Taiwan,PRIME VIEW INTERNATIONAL,Aug09,,False
Taiwan,TAIWAN COOPERATIVE BANK,Nov07,,False
Taiwan,VANGUARD INT'L SEMICON,May13,,False
Thailand,AIRPORTS OF THAILAND,Nov12,AOT.BK,False
Thailand,BANGKOK DUSIT MED. SVCS,Nov12,,False
Thailand,BANK OF AYUDHYA,Nov07,BAY.BK,False
Thailand,BUMRUNGRAD HOSPITAL PUB,May14,BH.BK,False
Thailand,CENTRAL PATTANA PUB CO,Nov12,CPN-R.BK,False
Thailand,CHAROEN POKPHAND FOODS,Nov09,CPF.BK,False
Thailand,DELTA ELECTRONICS THAI,Nov20,DELTA.BK,False
Thailand,GLOW ENERGY,May06,,False
Thailand,GULF ENERGY DEVELOPMENT,Nov18,,False
Thailand,INTOUCH HOLDINGS,May19,,False
Thailand,KASIKORNBANK,Aug22,KBANK-R.BK,False
Thailand,MINOR INTERNATIONAL,May13,MINT.BK,False
Thailand,RATCHABURI ELECTRICITY,May19,,False
