market,security,last_add,ticker,touches_defective_cell
Thailand,RAYONG REFINERY PCL,Aug06,,False
Thailand,ROBINSON DEPT STORE,May16,,False
Thailand,SHIN CORP PCL,May13,,False
Thailand,SIAM CEMENT,May12,SCC.BK,False
Thailand,SIAM MAKRO,May23,,False
Thailand,THAI MILITARY BANK ORD,Nov13,,False
Thailand,THAI PETROCHEMICAL INDUS,Nov06,,False
Thailand,THAI UNION FROZEN PROD,Nov14,,False
Thailand,TMBTHANACHART BANK,Aug23,TTB-R.BK,False
Thailand,TRUE CORP,May13,TRUE.BK,False
